[453.74127, 295.43369;
 467.60574, 301.20599;
 481.59012, 309.40674;
 496.61899, 315.39487;
 510.88968, 323.85437;
 526.20306, 330.29031;
 541.10229, 338.59241;
 557.00854, 345.14493;
 446.85916, 305.19492;
 460.63742, 312.48135;
 475.08014, 319.38223;
 489.78641, 326.82956;
 504.4097, 334.40421;
 519.53363, 341.81842;
 534.74475, 349.39267;
 550.31927, 357.6066;
 439.00513, 316.39883;
 453.30777, 323.51431;
 467.55392, 331.30167;
 482.34467, 338.51941;
 497.17953, 346.42712;
 512.4472, 353.89996;
 527.54138, 362.10132;
 543.31714, 369.71249;
 431.48511, 327.9259;
 445.70215, 335.4953;
 460.0459, 343.0914;
 474.74417, 350.86411;
 489.74249, 358.33536;
 504.88959, 366.51898;
 520.43762, 374.21811;
 536.22107, 382.56784;
 423.56531, 339.3284;
 437.63577, 347.42221;
 452.54962, 354.79703;
 467.26434, 362.77463;
 482.3165, 370.69708;
 497.48935, 379.03159;
 513.19641, 387.15552;
 528.9917, 395.49814]
