[249.30768, 98.606598;
 264.41351, 98.678291;
 280.49985, 98.684578;
 295.57828, 98.718292;
 311.65411, 98.838623;
 326.85541, 98.773598;
 343.00098, 98.81868;
 358.41943, 98.681862;
 247.78902, 111.84206;
 263.77722, 111.78917;
 278.99771, 111.93517;
 295.27298, 111.97158;
 310.54623, 112.0652;
 326.69806, 112.15086;
 342.05145, 112.05495;
 358.2977, 112.23329;
 246.74989, 125.34849;
 262.27524, 125.42024;
 278.53009, 125.45983;
 293.83789, 125.52461;
 310.14664, 125.63342;
 325.61298, 125.51705;
 341.92755, 125.65843;
 357.60742, 125.6272;
 245.32179, 139.0918;
 261.52545, 139.03148;
 277.02448, 139.19247;
 293.48264, 139.32295;
 309.01453, 139.41743;
 325.42505, 139.44356;
 341.09088, 139.44464;
 357.40356, 139.52458;
 244.22653, 152.71028;
 260.02631, 152.91551;
 276.35269, 153.14072;
 292.19168, 153.30844;
 308.48132, 153.38976;
 324.44916, 153.32787;
 340.79901, 153.37659;
 356.81985, 153.39236]
