[144.24734, 162.03276;
 180.20091, 164.98199;
 215.28606, 167.52988;
 249.59357, 170.15402;
 283.38257, 172.47334;
 316.5, 174.96005;
 349.17502, 177.3208;
 381.31879, 179.46756;
 142.20547, 195.08153;
 178.48566, 197.49339;
 214.01532, 199.97023;
 248.73869, 202.1794;
 283.0105, 204.36932;
 316.50244, 206.48669;
 349.48297, 208.63092;
 382.02704, 210.56404;
 140.05997, 228.80798;
 176.75914, 231.0152;
 212.70775, 233.09271;
 248.07065, 235.08853;
 282.60059, 237.02408;
 316.54425, 238.73056;
 349.94702, 240.65117;
 382.70309, 242.48303;
 137.78285, 263.46912;
 175.17653, 265.28479;
 211.46625, 266.97079;
 247.29596, 268.67984;
 282.31531, 270.41724;
 316.61707, 272.06259;
 350.40811, 273.54541;
 383.61179, 275.01154;
 135.44276, 299.05145;
 173.3374, 300.52475;
 210.24881, 301.849;
 246.42203, 303.31924;
 281.79651, 304.60614;
 316.60162, 305.87219;
 350.81802, 307.30862;
 384.55374, 308.48019]
