[43.883865, 333.24969;
 67.248749, 330.72534;
 90.29631, 328.04129;
 112.60511, 325.46054;
 134.62886, 322.83597;
 156.07747, 320.43213;
 177.20692, 318.0011;
 197.54022, 315.48309;
 45.209579, 349.3559;
 69.263901, 346.30701;
 92.419899, 343.60281;
 115.43285, 340.61072;
 137.57668, 338.02798;
 159.59677, 335.24786;
 180.58562, 332.60892;
 201.76015, 330.14127;
 46.742786, 365.61728;
 70.909317, 362.6922;
 94.803833, 359.50394;
 117.9231, 356.60806;
 140.75174, 353.54059;
 162.76683, 350.64713;
 184.72638, 347.9043;
 205.8019, 345.16061;
 48.091743, 382.97754;
 72.933388, 379.46951;
 96.999565, 376.3934;
 120.90523, 373.08258;
 143.80954, 369.90381;
 166.51477, 366.65991;
 188.48479, 363.68127;
 210.29228, 360.72037;
 49.620052, 400.62497;
 74.664574, 397.2865;
 99.52018, 393.59363;
 123.5847, 390.30273;
 147.29454, 386.76889;
 170.27896, 383.43997;
 192.7599, 380.19684;
 214.62903, 376.91357]
