[341.66171, 357.1405;
 423.14594, 358.53732;
 507.62622, 359.87268;
 595.28101, 361.17383;
 686.78137, 362.40897;
 782.13745, 363.70108;
 882.12274, 364.8616;
 987.26666, 365.76657;
 325.90079, 444.27002;
 408.48547, 447.42487;
 493.53168, 450.43326;
 582.44464, 453.48596;
 675.32678, 456.72104;
 772.16571, 460.24939;
 873.4198, 463.77695;
 979.8208, 467.43787;
 309.6041, 534.06403;
 393.0256, 538.61023;
 479.62808, 543.82159;
 569.45593, 548.97021;
 663.58398, 554.47235;
 761.67181, 559.85809;
 864.4173, 565.9505;
 972.53333, 572.17053;
 292.78305, 626.63953;
 377.1441, 633.37531;
 464.67664, 640.18726;
 556.2605, 647.54529;
 651.49615, 655.29431;
 751.23499, 663.41235;
 855.34332, 671.83899;
 965.39178, 681.07397;
 274.39603, 722.80548;
 360.40878, 731.02777;
 449.66208, 740.23376;
 542.11401, 749.73773;
 638.89313, 759.84106;
 740.13135, 770.54248;
 846.07068, 781.88263;
 958.15045, 794.40723]
